"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"P57","1","XTAL2","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P58","1","GCK1","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P59","1","GCK2","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P60","1","SGPIO_CLK","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P61","1","DA0","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P62","1","DA7","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P63","1","DD0","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P64","1","DD9","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P65","1","DA4","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P66","1","DD5","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P67","1","RSSI","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P68","1","SPIFI_CS","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P69","1","VREGMODE","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P70","1","EN_1V8","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P71","1","ID","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P72","1","GP_CLKIN","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P73","1","P1_2","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P74","1","P1_1","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P75","1","SGPIO0","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P76","1","SGPIO7","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P77","1","SGPIO9","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P78","1","SGPIO10","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P79","1","SGPIO11","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P80","1","SHIELD","DNP","","","hackrf:GSG-HEADER-NOMARK-1x2",""
"P81","1","SPIFI_SIO2","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P82","1","SPIFI_SIO3","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P83,P84,P85,P86,P87,P88,P89,P90,P91,P92","10","GND","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"Q1,Q2,Q3,Q4,Q5","5","MOSFET_P","","","","gsg-modules:SOT23-3",""
"R1,R2,R72,R75","4","470","","","","hackrf:GSG-0402",""
"R3","1","22k","","","","hackrf:GSG-0402",""
"R4","1","51k","","","","hackrf:GSG-0402",""
"R5,R6,R7,R11,R12,R24,R29,R36,R37,R41,R48,R49,R51,R52,R54,R59,R62,R63,R64,R66,R67,R68,R85,R93,R104,R105","26","10k","","","","hackrf:GSG-0402",""
"R8,R9,R10,R13,R73,R76","6","1k","","","","hackrf:GSG-0402",""
"R14,R15,R16,R17","4","4k7","","","","hackrf:GSG-0402",""
